Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
1911/12/31,,686.0540814,,736001.8383492,53626,35191.08064,147137.234042553,,109789,17450.83128,1033.522461,,4698420.441,20785.04021,,,3559097.947,284049.9457,,14254.67993,5704,,8298,283188,15597,,,,12028.7,70721,6905.273117,2045133.998,,112658,,35943.04506,119440.2042,,,,63039,325610,218489.778,,148224,176743,18471.6,5687,11895602.95,453.3757
1912/06/30,,,,,,,,,,,,57249.65492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912/12/31,,725.0343672,,740953.5942963,57695,38065.63572,153434.042553192,,112747,18653.15743,968.0040841,,4885051.532,21042.51934,,,3611843.587,288881.5522,,14581.58556,5968,,8589,288238,15862,,,,12428,64375,6743.64532,2177864,,113645,,37938.00694,125310.0265,,,,62438,338221,221487.2667,,148270,191393,19493.4,6003,11903110.07,468.8452
1913/06/30,,,,,,,,,,,,62949.10051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913/12/31,,731.7164016,,745946.397203,59943,38462.08875,160325.531914894,,112062,19194.81961,901.5354856,,4974589.76,21303.00991,,,3516888.791,302218.0165,,15528.81454,6665,,8874,318540,15804,,,,12203.7,61694,7152.401212,2162549,,119568,,39110.56907,132090.6539,,,,65381,359374,231015.1539,,153819,190251,19140.8,6326,12014228.35,541.4329
1914/06/30,,,,,,,,,,,,63544.56497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914/12/31,,699.4192012,,750976.5155275,55592,34478.83292,136597.872340426,,105476,18954.08111,938.5513588,,4203686.181,21566.51193,,,3625899.257,302262.4372,,16598.83247,6946,,9559,312734,15917,,,,12431.8,66419,9123.890152,,,113093,,38055.26315,134816.2336,,,,64079,356803,236328.0941,,163478,176743,21108,6047,12104323.25,473.2084
1915/06/30,,,,,,,,,,,,55973.65964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915/12/31,,693.2941782,,756025.291561,59440,34660.31355,129703.191489362,,101894,19014.26555,913.555929,,4068364.317,21833.02541,,,3671627.599,306390.1464,,18850.49463,7219,,9582,293116,15561,,,,12686.6,69760,8625.488372,,,108975,,39345.0815,140749.2826,,,,64444,361000,251344.8611,,152163,173129,19580,5744,12804065.11,487.4879
1916/06/30,,,,,,,,,,,,62353.63604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
