Date,Open,High,Low,Close,Adj Close,Volume
2005-08-01,11.75,14.41,11.36,12.6,12.6,0
2005-09-01,12.86,14.39,11.07,11.92,11.92,0
2005-10-01,12.37,17.190001,11.98,15.32,15.32,0
2005-11-01,14.85,15.66,10.5,12.06,12.06,0
2005-12-01,12.09,12.44,10.15,12.07,12.07,0
2006-01-01,12.25,14.56,10.81,12.95,12.95,0
2006-02-01,13.03,13.73,11.13,12.34,12.34,0
2006-03-01,12.05,13.34,10.53,11.39,11.39,0
2006-04-01,11.47,13.09,11.02,11.59,11.59,0
2006-05-01,11.83,19.870001,11.18,16.440001,16.440001,0
2006-06-01,16.469999,23.809999,12.74,13.08,13.08,0
2006-07-01,13.29,19.58,12.77,14.95,14.95,0
2006-08-01,15.49,16.15,11.57,12.31,12.31,0
2006-09-01,12.14,14.49,10.74,11.98,11.98,0
2006-10-01,12.45,12.91,10.44,11.1,11.1,0
2006-11-01,10.93,12.55,9.81,10.91,10.91,0
2006-12-01,11.07,12.68,9.39,11.56,11.56,0
2007-01-01,12.16,12.83,9.87,10.42,10.42,0
2007-02-01,10.32,19.01,9.7,15.42,15.42,0
2007-03-01,17.76,21.25,11.21,14.64,14.64,0
2007-04-01,14.91,15.46,11.46,14.22,14.22,0
2007-05-01,14.1,14.6,12.08,13.05,13.05,0
2007-06-01,12.77,18.98,12.43,16.23,16.23,0
2007-07-01,16.48,24.17,14.67,23.52,23.52,0
2007-08-01,23.709999,37.5,19.33,23.379999,23.379999,0
2007-09-01,21.93,28.82,16.91,18,18,0
2007-10-01,18.440001,24.15,16.08,18.530001,18.530001,0
2007-11-01,19.889999,31.09,17.379999,22.870001,22.870001,0
2007-12-01,23.59,24.860001,18.280001,22.5,22.5,0
2008-01-01,22.58,37.57,22.110001,26.200001,26.200001,0
2008-02-01,25.66,29.700001,21.639999,26.540001,26.540001,0
2008-03-01,27.540001,35.599998,22.290001,25.610001,25.610001,0
2008-04-01,25.610001,25.610001,19.209999,20.790001,20.790001,0
2008-05-01,20.780001,20.950001,15.82,17.83,17.83,0
2008-06-01,17.83,24.559999,17.83,23.950001,23.950001,0
2008-07-01,25.139999,30.809999,20.73,22.940001,22.940001,0
2008-08-01,22.66,23.860001,18.639999,20.65,20.65,0
2008-09-01,20.65,48.400002,20.469999,39.389999,39.389999,0
2008-10-01,39.389999,89.529999,39.389999,59.889999,59.889999,0
